,Station_id,boro_code,density
197,436,3,0.000452592025108
198,437,3,0.000475160465279
199,438,1,0.00106854530685
200,439,1,0.00112988987457
201,440,1,0.00059258974747
202,441,1,0.000894908988025
203,442,1,0.000371859393603
204,443,3,0.000641579776133
205,444,1,0.000417974851296
206,445,1,0.000907997460102
207,446,1,0.000771118953049
208,447,1,0.000551917626294
209,448,1,0.000333756037975
210,449,1,0.00075937602483
211,450,1,0.000847447986473
212,453,1,0.000829650110891
213,454,1,0.000740966538404
214,455,1,0.000607900405616
215,456,1,2.81340988581e-05
216,457,1,0.000791546755264
217,458,1,0.000237916618604
218,459,1,0.000237916618604
219,460,3,0.000472102411056
220,461,1,0.000989586346791
221,462,1,0.000670040067442
222,465,1,1.43116937669e-05
223,466,1,0.000600357205198
224,467,3,0.000268374838672
225,468,1,0.000791546755264
226,469,1,0.000344459227758
227,470,1,0.000736746423575
228,471,3,0.000552468076055
229,472,1,0.000794054359727
230,473,1,0.000737174551166
231,474,1,0.000403418513191
232,475,1,0.000618338564033
233,476,1,0.00107245961625
234,477,1,0.000148009824427
235,478,1,0.000411491776342
236,479,1,0.00104634383318
237,480,1,0.000783106525606
238,481,3,0.000562315010655
239,482,1,0.000984326493526
240,483,1,0.000629347559238
241,484,1,1.39447272601e-05
242,485,1,0.000297059387291
243,486,1,0.000278527578695
244,487,1,0.0012873796671
245,488,1,0.000281707955088
246,490,1,0.000194125282121
247,491,1,0.000668857619809
248,492,1,0.000136511540546
249,493,1,7.79803827045e-05
250,494,1,0.000713994500151
251,495,1,0.000793014621291
252,496,1,0.000485863655062
253,497,1,0.000416873951775
254,498,1,0.000207519559621
255,499,1,0.000677909460311
256,500,1,0.000344459227758
257,501,1,0.000320239438306
258,502,1,0.000655218697971
259,503,1,0.000517606257904
260,504,1,0.0014536154947
261,505,1,0.000207519559621
262,507,1,0.00143606226345
263,508,1,0.000738581256109
264,509,1,0.000886101791861
265,510,1,0.000231311221481
266,511,1,0.00123398604035
267,513,1,0.000969586672168
268,514,1,0.000411491776342
269,515,1,0.000892462544646
270,516,1,0.000482132828909
271,517,1,0.000528370608772
272,518,1,0.000942920439337
273,519,1,0.000425885018221
274,520,1,7.3148657031e-05
275,522,1,0.000243665760545
276,523,1,0.00018700001578
277,524,1,1.8959936187e-05
278,525,1,0.000237916618604
279,526,1,0.000403418513191
280,527,1,0.00108511996074
